排名,代码,名称,每股分红合计,最新价,昨收,最新分红率,昨日分红率,分红率涨跌幅,是否保留,买入提醒pe,买入提醒价格,买入pb,,,,
55,603519,立霸股份,1,15.69,15.21,6.373486297004462,6.574621959237343,-0.201135662,否,,,,,,,
56,603303,得邦照明,1.381,21.73,20.42,6.355269213069489,6.762977473065622,-0.40770826,否,,,,,,,
57,605077,华康股份,0.7,11.06,11.07,6.329113924050632,6.323396567299006,0.0057173567516262125,否,,,,,,,
58,600901,江苏金租,0.4,6.36,6.4,6.289308176100629,6.25,0.03930817610062931,是,,5.8,1.3,,,,
59,002035,华帝股份,0.3,4.79,4.82,6.263048016701461,6.224066390041493,0.03898162665996807,否,,,,,,,
60,002884,凌霄泵业,1,16.11,16.23,6.207324643078834,6.161429451632778,0.04589519144605525,否,,,,,,,
61,002322,理工能科,0.6599999999999999,10.68,10.78,6.179775280898876,6.122448979591836,0.05732630130703953,否,,,,,,,
62,600908,无锡银行,0.33000000000000007,5.39,5.46,6.122448979591839,6.043956043956046,0.07849293563579351,否,,,,,,,
63,002233,塔牌集团,0.45,7.41,7.62,6.0728744939271255,5.905511811023622,0.1673626829035033,否,,,,,,,
64,603855,华荣股份,1,16.49,16.57,6.064281382656156,6.035003017501508,0.029278365154647545,否,,,,,,,
65,600007,中国国贸,1.1,18.3,18.41,6.010928961748634,5.975013579576317,0.035915382172317045,否,,,,,,,
66,601668,中国建筑,0.27149999999999996,4.52,4.57,6.006637168141593,5.940919037199124,0.06571813094246881,否,,,,,,,
67,600987,航民股份,0.4,6.67,6.67,5.997001499250375,5.997001499250375,0,否,,,,,,,
68,600008,首创环保,0.16999999999999998,2.84,2.86,5.985915492957746,5.944055944055944,0.04185954890180188,否,,,,,,,
69,300406,九强生物,0.7,11.75,11.53,5.957446808510638,6.071118820468343,-0.113672012,否,,,,,,,
70,603195,公牛集团,2.4,40.69,40.78,5.8982550995330545,5.885237861696909,0.013017237836145057,否,,,,,,,
71,000928,中钢国际,0.29900000000000004,5.07,5.11,5.897435897435898,5.851272015655578,0.046163881780319826,否,,,,,,,
72,002540,亚太科技,0.30000000000000004,5.09,5.15,5.893909626719058,5.825242718446602,0.0686669082724558,否,,,,,,,
73,600612,老凤祥,2.05,34.87,35,5.878979065098939,5.857142857142857,0.0218362079560821,否,,,,,,,
74,603566,普莱柯,0.6000000000000001,10.24,10.13,5.859375000000001,5.923000987166831,-0.063625987,否,,,,,,,
75,002228,合兴包装,0.18,3.08,3.12,5.844155844155844,5.769230769230769,0.0749250749250745,否,,,,,,,
76,600273,嘉化能源,0.4,6.85,6.89,5.8394160583941614,5.805515239477504,0.033900818916657194,否,,,,,,,
77,002521,齐峰新材,0.4,6.85,6.9,5.8394160583941614,5.797101449275362,0.04231460911879914,否,,,,,,,
78,603357,设计总院,0.35,6,6.09,5.833333333333333,5.747126436781609,0.0862068965517242,否,,,,,,,
79,600551,时代出版,0.4,6.86,6.97,5.830903790087463,5.738880918220947,0.09202287186651592,否,,,,,,,
80,002483,润邦股份,0.3,5.16,5.18,5.813953488372093,5.7915057915057915,0.022447696866301214,否,,,,,,,
81,601390,中国中铁,0.26,4.48,4.49,5.803571428571428,5.79064587973274,0.01292554883868835,否,,,,,,,
82,601166,兴业银行,1.06,18.34,18.48,5.779716466739368,5.735930735930736,0.04378573080863202,否,,,,,,,
83,000895,双汇发展,1.4,24.27,25.38,5.7684384013185,5.516154452324665,0.2522839489938349,是,15.5,,,,5.54,10.54,0.525616698
84,000581,威孚高科,1,17.36,17.53,5.76036866359447,5.704506560182543,0.055862103411926434,否,,,,,5.4,10.27364621,
85,600970,中材国际,0.45,7.83,7.81,5.747126436781609,5.761843790012804,-0.014717353,否,,,,,5.3,10.0833935,
86,600803,新奥股份,0.99,17.3,17.37,5.722543352601156,5.699481865284974,0.023061487316182294,否,,,,,5.2,9.893140794,
87,002304,洋河股份,2.317,40.84,40.88,5.673359451518119,5.667808219178083,0.005551232340036627,否,,,,,5.1,9.702888087,
88,601229,上海银行,0.52,9.21,9.3,5.646036916395222,5.591397849462365,0.05463906693285736,否,,,,,5.0 ,9.512635379,
89,603816,顾家家居,1.3800000000000001,24.51,24.75,5.630354957160343,5.575757575757576,0.05459738140276649,否,,,,,4.9,9.322382671,
90,600690,海尔智家,1.2342399999999998,21.93,22.12,5.628089375284997,5.579746835443037,0.04834253984196035,是,10.9,,,,4.8,9.132129964,
91,600016,民生银行,0.198,3.53,3.52,5.609065155807366,5.625,-0.015934844,否,,,,,,,
92,002991,甘源食品,2.364,42.44,42.49,5.570216776625825,5.563662038126617,0.006554738499207957,否,,,,,,,
93,600373,中文传媒,0.4,7.2,7.31,5.555555555555556,5.471956224350206,0.08359933120535068,否,,,,,,,
94,002367,康力电梯,0.3,5.4,5.42,5.555555555555555,5.535055350553505,0.020500205002050187,否,,,,,,,
95,600820,隧道股份,0.30000000000000004,5.41,5.43,5.545286506469502,5.52486187845304,0.020424628016462165,否,,,,,,,
96,603096,新经典,0.8,14.67,14.77,5.453306066802999,5.416384563303995,0.036921503499003805,否,,,,,,,
